Tanggal,Produk,Jumlah,Harga Satuan,Pendapatan
2025-01-01,Hoodie,2,150000,300000
2025-01-01,Kaos Oversize,1,80000,80000
2025-01-02,Sweater,3,120000,360000
2025-01-02,Kemeja Flannel,2,140000,280000
2025-01-03,Celana Cargo,2,170000,340000
2025-01-03,Hoodie,1,150000,150000
2025-01-04,Kaos Oversize,4,80000,320000
2025-01-05,Jacket Bomber,1,200000,200000
2025-01-06,Hoodie,3,150000,450000
2025-01-07,Celana Cargo,1,170000,170000
2025-01-07,Sweater,2,120000,240000
2025-01-08,Kemeja Flannel,1,140000,140000
2025-01-09,Kaos Oversize,2,80000,160000
2025-01-10,Jacket Bomber,2,200000,400000
2025-01-11,Hoodie,1,150000,150000
2025-01-12,Sweater,1,120000,120000
2025-01-12,Celana Cargo,3,170000,510000
2025-01-13,Kaos Oversize,2,80000,160000
2025-01-14,Kemeja Flannel,2,140000,280000
2025-01-15,Jacket Bomber,1,200000,200000


